"scenario","method","prior","alpha","threshold","n_sightings","final_probability","date_error","absolute_date_error","no_threshold_crossing"
"constant observation effort, matched expected sightings","Effort_fixed_alpha","uniform",0.6,0.5,8.05555555555556,0.308004515464054,9.05555555555556,9.05555555555556,0
"constant observation effort, matched expected sightings","Solow","earlier_beta_1_2",1,0.3,9.09090909090909,0.108841015310872,9.81818181818182,9.81818181818182,0
"decreasing observation effort","Effort_te_median","uniform",0.6,-1,2.88461538461538,-1,0.307692307692308,3.69230769230769,0
"decreasing observation effort","Effort_te_median","uniform",1,-1,2.88461538461538,-1,-1.53846153846154,4,0
"decreasing observation effort","Effort_te_median","uniform",1.5,-1,2.88461538461538,-1,-2.92307692307692,4.38461538461539,0
"decreasing observation effort","Solow_te_median","later_beta_2_1",1,-1,2.925,-1,-1.025,4.425,0
"decreasing observation effort","Effort_te_median","uniform",1.8,-1,2.88461538461538,-1,-3.38461538461538,4.61538461538461,0
"decreasing observation effort","Solow_te_median","uniform",1,-1,2.925,-1,-2.9,4.85,0
"decreasing observation effort","Solow_te_median","earlier_beta_1_2",1,-1,2.925,-1,-4.675,5.275,0
"decreasing observation effort","Solow","later_beta_2_1",1,0.6,2.925,0.294653948093435,-1.375,5.875,0
"decreasing observation effort","Solow","later_beta_2_1",1,0.4,3.17241379310345,0.241114027721541,2.31034482758621,6.93103448275862,0
"decreasing observation effort","Effort_fixed_alpha","uniform",1.8,0.5,2.88461538461538,0.198891299222529,3.34615384615385,7.03846153846154,0
"decreasing observation effort","Solow","later_beta_2_1",1,0.5,2.925,0.294653948093435,1.725,7.125,0
"decreasing observation effort","Effort_fixed_alpha","uniform",1.2,0.5,3.0952380952381,0.268500768120162,4,7.14285714285714,0
"decreasing observation effort","Effort_fixed_alpha","uniform",0.6,0.5,3.33333333333333,0.380844959948631,5.41666666666667,7.25,0
"decreasing observation effort","Solow","uniform",1,0.6,2.925,0.338495225968455,2.175,7.325,0
"decreasing observation effort","Effort_fixed_alpha","uniform",1.5,0.5,2.92,0.241923340438925,4.12,7.48,0
"decreasing observation effort","Effort_fixed_alpha","uniform",0.8,0.5,3.25,0.3418523991423,5.125,7.5,0
"decreasing observation effort","Effort_fixed_alpha","uniform",1,0.5,3.1,0.314454304324173,5,7.6,0
"decreasing observation effort","Solow","uniform",1,0.5,3.09090909090909,0.293496886706542,3.60606060606061,7.66666666666667,0
"decreasing observation effort","Solow","earlier_beta_1_2",1,0.6,3.09677419354839,0.326067721840528,3.90322580645161,7.7741935483871,0
"decreasing observation effort","Solow","earlier_beta_1_2",1,0.5,3.24,0.267886345943935,4,8,0
"decreasing observation effort","Solow","earlier_beta_1_2",1,0.4,3.26315789473684,0.205456410757175,4.15789473684211,8.05263157894737,0
"decreasing observation effort","Solow","earlier_beta_1_2",1,0.3,3.46153846153846,0.143385697939763,3.76923076923077,8.07692307692308,0
"decreasing observation effort","Solow","uniform",1,0.4,3.24,0.238215183296747,4.04,8.12,0
"decreasing observation effort","Solow","later_beta_2_1",1,0.3,3.36842105263158,0.188206253788415,4.10526315789474,8.21052631578947,0
"decreasing observation effort","Solow","uniform",1,0.3,3.4375,0.170393330881076,4.5,8.375,0
"decreasing observation effort, matched expected sightings","Effort_te_median","uniform",1,-1,7.66666666666667,-1,-0.111111111111111,1.44444444444444,0
"decreasing observation effort, matched expected sightings","Effort_te_median","uniform",1.5,-1,7.66666666666667,-1,-1,1.44444444444444,0
"decreasing observation effort, matched expected sightings","Effort_te_median","uniform",1.8,-1,7.66666666666667,-1,-1.44444444444444,1.44444444444444,0
"decreasing observation effort, matched expected sightings","Effort_te_median","uniform",0.6,-1,7.66666666666667,-1,1.33333333333333,1.77777777777778,0
"decreasing observation effort, matched expected sightings","Solow_te_median","later_beta_2_1",1,-1,8.625,-1,-1.325,2.575,0
"decreasing observation effort, matched expected sightings","Solow_te_median","earlier_beta_1_2",1,-1,8.625,-1,-2.225,2.725,0
"decreasing observation effort, matched expected sightings","Solow_te_median","uniform",1,-1,8.625,-1,-1.75,2.75,0
"decreasing observation effort, matched expected sightings","Solow","later_beta_2_1",1,0.6,8.625,0.0756884913247944,0.725,3.325,0
