"experiment","scenario","replicate","method","true_year","n_sightings","last_sighting","final_probability","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"extinction","constant observation effort",19,"Solow",2005,2,2002,0.549999999909738,NA,NA,NA,TRUE
"extinction","constant observation effort",19,"Kodikara",2005,2,2002,0.408410871125711,2015,10,10,FALSE
"extinction","constant observation effort",19,"Effort_fixed_alpha",2005,2,2002,0.55,NA,NA,NA,TRUE
"extinction","constant observation effort",20,"Solow",2005,2,2004,0.599999999454316,NA,NA,NA,TRUE
"extinction","constant observation effort",20,"Kodikara",2005,2,2004,0.551831758346565,NA,NA,NA,TRUE
"extinction","constant observation effort",20,"Effort_fixed_alpha",2005,2,2004,0.6,NA,NA,NA,TRUE
"extinction","constant observation effort",21,"Solow",2005,5,1997,0.118867287434848,2006,1,1,FALSE
"extinction","constant observation effort",21,"Kodikara",2005,5,1997,0.0322177804139739,2002,-3,3,FALSE
"extinction","constant observation effort",21,"Effort_fixed_alpha",2005,5,1997,0.118867287443832,2006,1,1,FALSE
"extinction","constant observation effort",22,"Solow",2005,6,2001,0.171981837971002,2011,6,6,FALSE
"extinction","constant observation effort",22,"Kodikara",2005,6,2001,0.056472701404919,2007,2,2,FALSE
"extinction","constant observation effort",22,"Effort_fixed_alpha",2005,6,2001,0.17198183802164,2011,6,6,FALSE
"extinction","constant observation effort",23,"Solow",2005,2,1988,0.199999999850068,1997,-8,8,FALSE
"extinction","constant observation effort",23,"Kodikara",2005,2,1988,0.339902264227777,1997,-8,8,FALSE
"extinction","constant observation effort",23,"Effort_fixed_alpha",2005,2,1988,0.199999999999996,1996,-9,9,FALSE
"extinction","constant observation effort",24,"Solow",2005,4,1990,0.0454545457073001,1996,-9,9,FALSE
"extinction","constant observation effort",24,"Kodikara",2005,4,1990,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",24,"Effort_fixed_alpha",2005,4,1990,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",25,"Solow",2005,2,2002,0.549999999909738,NA,NA,NA,TRUE
"extinction","constant observation effort",25,"Kodikara",2005,2,2002,0.565974347788252,NA,NA,NA,TRUE
"extinction","constant observation effort",25,"Effort_fixed_alpha",2005,2,2002,0.55,NA,NA,NA,TRUE
"extinction","constant observation effort",26,"Solow",2005,5,2004,0.373271889406011,2016,11,11,FALSE
"extinction","constant observation effort",26,"Kodikara",2005,5,2004,0.429345917759042,2017,12,12,FALSE
"extinction","constant observation effort",26,"Effort_fixed_alpha",2005,5,2004,0.373271889400922,2016,11,11,FALSE
"extinction","constant observation effort",27,"Solow",2005,2,1982,0.0499999998279228,1985,-20,20,FALSE
"extinction","constant observation effort",27,"Kodikara",2005,2,1982,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",27,"Effort_fixed_alpha",2005,2,1982,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",28,"Solow",2005,3,2000,0.399999999928732,2015,10,10,FALSE
"extinction","constant observation effort",28,"Kodikara",2005,3,2000,0.142141570853424,2007,2,2,FALSE
"extinction","constant observation effort",28,"Effort_fixed_alpha",2005,3,2000,0.4,2015,10,10,FALSE
"extinction","constant observation effort",29,"Solow",2005,3,2004,0.529411764584833,NA,NA,NA,TRUE
"extinction","constant observation effort",29,"Kodikara",2005,3,2004,0.399945811901495,2016,11,11,FALSE
"extinction","constant observation effort",29,"Effort_fixed_alpha",2005,3,2004,0.529411764705882,NA,NA,NA,TRUE
"extinction","constant observation effort",30,"Solow",2005,2,1997,0.424999999941026,2015,10,10,FALSE
"extinction","constant observation effort",30,"Kodikara",2005,2,1997,0.0795714445603372,2001,-4,4,FALSE
"extinction","constant observation effort",30,"Effort_fixed_alpha",2005,2,1997,0.425,2014,9,9,FALSE
